63
(1.000000, 0.000000, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.955336, 0.389418, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.825336, 0.717356, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.621610, 0.932039, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.362358, 0.999574, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.070737, 0.909297, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.227202, 0.675463, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.504846, 0.334988, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.737394, -0.058374, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.904072, -0.442521, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.989993, -0.756803, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.987480, -0.951602, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.896758, -0.996165, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.725932, -0.883454, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.490260, -0.631266, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.210795, -0.279415, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.087500, 0.116550, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.377979, 0.494114, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.634694, 0.793669, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.834713, 0.967920, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.960171, 0.989358, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.999859, 0.854599, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.950233, 0.584917, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.815726, 0.222890, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.608352, -0.174326, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.346637, -0.544020, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.053956, -0.827826, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.243542, -0.980936, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.519287, -0.979178, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.748645, -0.822830, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.911129, -0.536575, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.992225, -0.165607, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.984688, 0.231506, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.889193, 0.592070, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.714268, 0.859160, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.475541, 0.990607, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.194334, 0.965659, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.104231, 0.788255, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.393487, 0.486404, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.647592, 0.107760, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.843851, -0.287897, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.964731, -0.638102, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.999435, -0.887564, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.944862, -0.996900, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.805887, -0.948847, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.594926, -0.750992, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.330821, -0.434573, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.037165, -0.049544, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.259811, 0.343307, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.533579, 0.681957, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.759683, 0.912941, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.917928, 0.999793, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.994177, 0.928799, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.981619, 0.711169, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.881376, 0.381261, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.702402, -0.008840, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.460685, -0.397545, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.177817, -0.723486, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.120934, -0.935205, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.408884, -0.999276, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.660310, -0.905584, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.852751, -0.668920, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(0.969020, -0.326648, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
