1536
(-0.000000, -0.000000, 0.766421) (-0.000000, -0.000000, 0.766421) (0.000000, 0.000000) 
(0.062500, -0.000000, 0.810238) (-0.000000, -0.000000, 0.810238) (0.000000, 0.000000) 
(-0.000000, 0.062500, 0.793143) (-0.000000, -0.000000, 0.793143) (0.000000, 0.000000) 
(-0.000000, 0.062500, 0.793143) (-0.000000, -0.000000, 0.793143) (0.000000, 0.000000) 
(0.062500, -0.000000, 0.810238) (-0.000000, -0.000000, 0.810238) (0.000000, 0.000000) 
(0.062500, 0.062500, 0.877232) (-0.000000, -0.000000, 0.877232) (0.000000, 0.000000) 
(-0.000000, 0.062500, 0.793143) (-0.000000, 0.062500, 0.793143) (0.000000, 0.000000) 
(0.062500, 0.062500, 0.877232) (-0.000000, 0.062500, 0.877232) (0.000000, 0.000000) 
(-0.000000, 0.125000, 0.822016) (-0.000000, 0.062500, 0.822016) (0.000000, 0.000000) 
(-0.000000, 0.125000, 0.822016) (-0.000000, 0.062500, 0.822016) (0.000000, 0.000000) 
(0.062500, 0.062500, 0.877232) (-0.000000, 0.062500, 0.877232) (0.000000, 0.000000) 
(0.062500, 0.125000, 0.946421) (-0.000000, 0.062500, 0.946421) (0.000000, 0.000000) 
(-0.000000, 0.125000, 0.822016) (-0.000000, 0.125000, 0.822016) (0.000000, 0.000000) 
(0.062500, 0.125000, 0.946421) (-0.000000, 0.125000, 0.946421) (0.000000, 0.000000) 
(-0.000000, 0.187500, 0.830927) (-0.000000, 0.125000, 0.830927) (0.000000, 0.000000) 
(-0.000000, 0.187500, 0.830927) (-0.000000, 0.125000, 0.830927) (0.000000, 0.000000) 
(0.062500, 0.125000, 0.946421) (-0.000000, 0.125000, 0.946421) (0.000000, 0.000000) 
(0.062500, 0.187500, 0.982017) (-0.000000, 0.125000, 0.982017) (0.000000, 0.000000) 
(-0.000000, 0.187500, 0.830927) (-0.000000, 0.187500, 0.830927) (0.000000, 0.000000) 
(0.062500, 0.187500, 0.982017) (-0.000000, 0.187500, 0.982017) (0.000000, 0.000000) 
(-0.000000, 0.250000, 0.802583) (-0.000000, 0.187500, 0.802583) (0.000000, 0.000000) 
(-0.000000, 0.250000, 0.802583) (-0.000000, 0.187500, 0.802583) (0.000000, 0.000000) 
(0.062500, 0.187500, 0.982017) (-0.000000, 0.187500, 0.982017) (0.000000, 0.000000) 
(0.062500, 0.250000, 0.956043) (-0.000000, 0.187500, 0.956043) (0.000000, 0.000000) 
(-0.000000, 0.250000, 0.802583) (-0.000000, 0.250000, 0.802583) (0.000000, 0.000000) 
(0.062500, 0.250000, 0.956043) (-0.000000, 0.250000, 0.956043) (0.000000, 0.000000) 
(-0.000000, 0.312500, 0.735842) (-0.000000, 0.250000, 0.735842) (0.000000, 0.000000) 
(-0.000000, 0.312500, 0.735842) (-0.000000, 0.250000, 0.735842) (0.000000, 0.000000) 
(0.062500, 0.250000, 0.956043) (-0.000000, 0.250000, 0.956043) (0.000000, 0.000000) 
(0.062500, 0.312500, 0.866713) (-0.000000, 0.250000, 0.866713) (0.000000, 0.000000) 
(-0.000000, 0.312500, 0.735842) (-0.000000, 0.312500, 0.735842) (0.000000, 0.000000) 
(0.062500, 0.312500, 0.866713) (-0.000000, 0.312500, 0.866713) (0.000000, 0.000000) 
(-0.000000, 0.375000, 0.646443) (-0.000000, 0.312500, 0.646443) (0.000000, 0.000000) 
(-0.000000, 0.375000, 0.646443) (-0.000000, 0.312500, 0.646443) (0.000000, 0.000000) 
